datetime,mentions,messages,time,exposure,ratio
2017-09-30,48,225,1,0,0.21333333333333335
2017-10-31,51,189,2,0,0.2698412698412698
2017-11-30,36,164,3,0,0.21951219512195122
2017-12-31,90,321,4,0,0.2803738317757009
2018-01-31,39,127,5,0,0.30708661417322836
2018-02-28,44,152,6,0,0.2894736842105263
2018-03-31,53,184,7,0,0.28804347826086957
2018-04-30,50,139,8,0,0.3597122302158273
2018-05-31,74,341,9,0,0.21700879765395895
2018-06-30,3,10,10,1,0.3
2018-07-31,33,149,11,1,0.2214765100671141
2018-08-31,17,83,12,1,0.20481927710843373
2018-09-30,36,189,13,1,0.19047619047619047
2018-10-31,22,89,14,1,0.24719101123595505
2018-11-30,12,36,15,1,0.3333333333333333
